type PC1 PC2 PC3
GZCD001 Bacteroides 0.124954288398229 -0.194620290290127 -0.0519797915197757
GZCD002 Bacteroides -0.149900556935921 -0.0681054048768494 -0.0330180220328481
GZCD003 Bacteroides -0.119948656275349 -0.0994325397172179 -0.0411093064331121
GZCD004 Prevotella 0.0271595589780069 -0.328463308306133 -0.177463575491427
GZCD005 Escherichia 0.595409413514247 -0.00999940214872206 -0.194360379796356
GZCD006 Bacteroides -0.188326782807218 -0.0645949833486167 -0.0122305975176384
GZCD007 Escherichia 0.309114846583018 -0.463952245361168 0.0501185028490216
GZCD008 Bacteroides -0.282525287661877 0.0371391346458184 -0.0851850895358974
GZCD009 Bacteroides 0.117938361950199 -0.298862907176871 0.137277592427298
GZCD010 Escherichia 0.257150155577807 -0.180878995311419 0.0132772048337629
GZCD011 Bacteroides -0.275016148469803 0.00122770006284863 -0.0669768049205485
GZCD012 Escherichia 0.261340172563966 -0.0621029210115138 -0.137256428646922
GZCD013 Prevotella 0.0421197854261729 -0.326141630109864 -0.208853793984347
GZCD014 Escherichia 0.402642907127034 -0.0952160066590586 -0.103313384590516
GZCD015 Bacteroides 0.0673096455044901 -0.106052754761308 -0.0914133289516212
GZCD016 Escherichia 0.210394798599482 -0.125442193679246 -0.100732459462781
GZCD017 Prevotella 0.122777433312659 -0.34973223240689 -0.188162050322552
GZCD018 Bacteroides -0.155000818509442 -0.0100747609846283 -0.0475979935018974
GZCD019 Bacteroides -0.0699003544646969 -0.0793746171973503 -0.0649102650138189
GZCD020 Bacteroides -0.307552120191343 0.026060945806213 -0.0822251496823586
GZCD021 Bacteroides -0.231257368724589 -0.0248515568745548 -0.0736147278414222
GZCD022 Escherichia 0.37954393052338 -0.144678100436865 -0.0595073905660988
GZCD023 Bacteroides -0.228324609430589 0.0169355888897608 -0.0850185840261018
GZCD024 Bacteroides -0.113510439185764 -0.102344794246545 -0.0382434315391172
GZCD025 Escherichia 0.760042682248701 0.189529856962316 -0.298336186335508
GZCD026 Bacteroides -0.00815366102087101 -0.10853505382265 -0.0890549169506175
GZCD027 Bacteroides -0.0656182352012778 -0.139382946111366 -0.0664309271443572
GZCD028 Prevotella 0.0724128767009664 -0.316630513830172 -0.190175356956437
GZCD029 Escherichia 0.19883668730573 -0.287887717122553 0.0216260304998077
GZCD030 Bacteroides 0.0816892459669349 -0.0877887891589363 -0.0977236178144325
GZCD031 Bacteroides -0.10919341426549 -0.0265273305057377 -0.0799840438450757
GZCD032 Escherichia 0.209154755799588 -0.360179268322875 0.0163791394839908
GZCD033 Bacteroides 0.0528820014653134 -0.12267043020222 -0.0643803743740433
GZCD034 Bacteroides -0.0266637907444268 -0.0123667945535311 -0.107081411085152
GZCD035 Escherichia 0.259171320715052 -0.402388181037116 0.0592662933382995
GZCD036 Bacteroides 0.144517319302438 -0.00834556990944751 -0.0809988321845997
GZCD037 Escherichia 0.475562184397814 -0.0724720190069083 -0.150770004311914
GZCD038 Escherichia 0.27482938410391 -0.245052608744363 -0.0102839431075837
GZCD039 Escherichia 0.662302997212354 0.107890827785827 -0.258131656782177
GZCD040 Bacteroides 0.15440381087262 -0.0185405776085863 -0.110033734101216
GZCD041 Bacteroides 0.05059997189844 -0.0968771879047911 -0.093780252579508
GZCD042 Bacteroides -0.00905484035636475 -0.199494668569278 0.0714524714129255
GZCD043 Bacteroides -0.1733452451968 -0.0750261604386304 0.00667460721896414
GZCD044 Bacteroides -0.211011801909722 -0.0416103348472168 -0.0667791312237223
GZCD045 Bacteroides -0.136110318709239 0.0134646900766317 -0.0762134841242813
GZCD046 Bacteroides -0.231897239059666 -0.0324593275020294 -0.0751983923638343
GZCD047 Escherichia 0.52242490481098 -0.0360950546634164 -0.16900126342687
GZCD048 Bacteroides 0.054721843403183 -0.191664122418724 0.0127857475577219
GZCD049 Escherichia 0.610610663537102 0.0984424410953782 -0.224251538056929
GZCD050 Prevotella 0.092116148131265 -0.403087608452224 -0.210539685098496
